run_id,ycol,xvar,bin_idx,bin_label,x0,x1,x_mid,slope_per_unit,clinical_step_effect
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,1,S02,24.65,25.3,24.975,0.28837433772473725,1.4418716886236862
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,2,S03,25.3,25.95,25.625,0.2862068640800655,1.4310343204003275
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,3,S04,25.95,26.6,26.275,0.2835463374956877,1.4177316874784385
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,4,S05,26.6,27.25,26.925,0.28039275797187246,1.4019637898593622
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,5,S06,27.25,27.9,27.575,0.2767195960416308,1.3835979802081542
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,6,S07,27.9,28.55,28.225,0.27256186972159285,1.3628093486079642
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,7,S08,28.55,29.2,28.875,0.2679205556876465,1.3396027784382325
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,8,S09,29.2,29.85,29.525,0.2627861887139287,1.3139309435696436
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,9,S10,29.85,30.5,30.175,0.25716041835931563,1.2858020917965782
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,10,S11,30.5,31.15,30.825,0.2511725441937298,1.255862720968649
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,11,S12,31.15,31.8,31.475,0.2450513753266111,1.2252568766330554
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,12,S13,31.8,32.45,32.125,0.23881637055462857,1.194081852773143
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,13,S14,32.45,33.1,32.775000000000006,0.23253337610515734,1.1626668805257867
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,14,S15,33.1,33.75,33.425,0.22616253579022158,1.130812678951108
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,15,S16,33.75,34.4,34.075,0.2197038496098445,1.0985192480492225
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,16,S17,34.4,35.05,34.724999999999994,0.2131573175639167,1.0657865878195836
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,17,S18,35.05,35.7,35.375,0.20652293965269838,1.0326146982634918
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,18,S19,35.7,36.35,36.025000000000006,0.19974924490709983,0.9987462245354992
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,19,S20,36.35,37.0,36.675,0.19292789914824415,0.9646394957412208
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,0,S01,46.0,48.45,47.225,-0.09035410834121754,-0.4517705417060877
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,1,S02,48.45,50.9,49.675,-0.10033299708642097,-0.5016649854321049
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,2,S03,50.9,53.35,52.125,-0.08902545184249827,-0.44512725921249136
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,3,S04,53.35,55.8,54.575,-0.06056829620010331,-0.30284148100051655
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,4,S05,55.8,58.25,57.025,-0.03231523278052878,-0.1615761639026439
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,5,S06,58.25,60.7,59.475,-0.008938942256696798,-0.044694711283483984
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,6,S07,60.7,63.150000000000006,61.925000000000004,0.00922256971031916,0.046112848551595795
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,7,S08,63.150000000000006,65.6,64.375,0.022496833194083594,0.11248416597041797
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,8,S09,65.6,68.05,66.82499999999999,0.030600405058120155,0.15300202529060078
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,9,S10,68.05,70.5,69.275,0.033710740628749805,0.168553703143749
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,10,S11,70.5,72.95,71.725,0.03176249549443119,0.15881247747215596
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,11,S12,72.95,75.4,74.17500000000001,0.024758557815658225,0.12379278907829112
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,12,S13,75.4,77.85,76.625,0.012895637883854347,0.06447818941927173
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,13,S14,77.85,80.30000000000001,79.075,0.0008186371908601414,0.004093185954300707
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,14,S15,80.30000000000001,82.75,81.525,-0.00643012825193236,-0.0321506412596618
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,15,S16,82.75,85.2,83.975,-0.008513072400929475,-0.042565362004647375
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,16,S17,85.2,87.65,86.42500000000001,-0.005439495398378557,-0.02719747699189278
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,17,S18,87.65,90.1,88.875,0.0027247536013535584,0.013623768006767793
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,18,S19,90.1,92.55000000000001,91.325,0.016132435098683586,0.08066217549341793
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,19,S20,92.55000000000001,95.0,93.775,0.03456629145190105,0.17283145725950524
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,0,S01,34.39,34.4965,34.44325,0.9495619245141689,0.47478096225708444
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,1,S02,34.4965,34.603,34.54975,0.9240960982255695,0.46204804911278474
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,2,S03,34.603,34.7095,34.65625,0.8820382683401657,0.44101913417008287
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,3,S04,34.7095,34.816,34.76275,0.8246642504651023,0.41233212523255114
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,4,S05,34.816,34.9225,34.86925,0.7502279557762375,0.37511397788811873
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,5,S06,34.9225,35.029,34.975750000000005,0.6608549944398666,0.3304274972199333
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,6,S07,35.029,35.1355,35.08225,0.5541853018307623,0.27709265091538116
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,7,S08,35.1355,35.242000000000004,35.18875,0.43600737880019885,0.21800368940009943
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,8,S09,35.242000000000004,35.3485,35.29525,0.329326176475983,0.1646630882379915
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,9,S10,35.3485,35.455,35.40175,0.24915868373284328,0.12457934186642164
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,10,S11,35.455,35.5615,35.508250000000004,0.1944310107820167,0.09721550539100834
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,11,S12,35.5615,35.668,35.61475,0.16584351547922477,0.08292175773961238
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,12,S13,35.668,35.7745,35.72125,0.16309462963544719,0.08154731481772359
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,13,S14,35.7745,35.881,35.82775,0.18623958345523123,0.09311979172761561
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,14,S15,35.881,35.987500000000004,35.934250000000006,0.2353170330347847,0.11765851651739236
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,15,S16,35.987500000000004,36.094,36.04075,0.31034688766219704,0.15517344383109852
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,16,S17,36.094,36.200500000000005,36.14725,0.41109777941688225,0.20554888970844112
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,17,S18,36.200500000000005,36.307,36.253750000000004,0.5378221492860132,0.2689110746430066
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,18,S19,36.307,36.413500000000006,36.36025000000001,0.6820685372099655,0.34103426860498276
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,19,S20,36.413500000000006,36.52,36.466750000000005,0.8107983520078835,0.40539917600394176
